index,Target Job,Previous Job ,Variable,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],number,,,,
565,,,Arg_above_2,0.661760137,0.196006546,3.376214465,0.000734906,0.277594365,1.045925909,110,,,,
566,,,Mod_above_2,0.024057084,0.189556595,0.126912407,0.899009727,-0.347467016,0.395581183,967,,,,
567,,,Exp_above_2,-0.028328685,0.272457396,-0.103974732,0.917189401,-0.562335368,0.505677999,978,,,,
568,,,Time,0.006647282,0.00313575,2.119837673,0.034019737,0.000501324,0.01279324,266,,,,
569,,,Job,0.19013866,0.117697063,1.61549197,0.106204198,-0.040543344,0.420820665,381,,,,
570,,,Task,-0.170771752,0.04264148,-4.004827015,6.21E-05,-0.254347517,-0.087195986,65,,,,
571,,,Biome,-0.942871707,0.599120746,-1.573759069,0.11554316,-2.117126792,0.231383377,396,,,,
572,,,Session,0.005374711,0.006288328,0.854712313,0.392710432,-0.006950185,0.017699608,659,,,,
573,,bayou-hide-n-seek,,,,,,,,,,,,
574,,,const,3.027837971,1.826858934,1.65740108,0.097438413,-0.552739745,6.608415687,368,,,,
575,,,Complete_A,18.51405084,2617.278272,0.00707378,0.994355987,-5111.2571,5148.285201,1017,,,,
576,,,Arg_above_2,0.607470846,0.198684252,3.057468517,0.002232151,0.218056868,0.996884825,137,,,,
577,,,Mod_above_2,-0.172318362,0.207099373,-0.832056414,0.405377102,-0.578225675,0.233588951,668,,,,
578,,,Exp_above_2,-0.110572062,0.287008776,-0.385256729,0.700047217,-0.673098926,0.451954802,847,,,,
579,,,Time,0.003062785,0.003033163,1.009766026,0.312607401,-0.002882105,0.009007674,612,,,,
580,,,Job,0.261403522,0.111957442,2.334847227,0.019551403,0.041970969,0.480836075,224,,,,
581,,,Task,-0.15912983,0.043082787,-3.693582524,0.000221117,-0.243570542,-0.074689119,84,,,,
582,,,Biome,-0.789377792,0.60264499,-1.309855396,0.190244759,-1.970540269,0.391784684,497,,,,
583,,,Session,0.001654656,0.004509977,0.366887984,0.713702575,-0.007184736,0.010494048,858,,,,
584,coral-much-algae,,,,,,,,,,,,,
585,,kelp-bull-kelp-forest,,,,,,,,,,,,
586,,,const,1.008874794,1.638611492,0.615688831,0.53809991,-2.202744716,4.220494304,756,,,,
587,,,Complete_A,3.025743736,1.029263859,2.939716292,0.003285129,1.008423641,5.04306383,150,,,,
588,,,Arg_above_2,0.530538551,0.300267335,1.766887332,0.077247099,-0.057974612,1.119051713,344,,,,
589,,,Mod_above_2,0.238849646,0.267324846,0.893480906,0.371599693,-0.285097425,0.762796716,648,,,,
590,,,Exp_above_2,1.10808871,0.455997494,2.430032457,0.015097471,0.214350045,2.001827374,211,,,,
591,,,Time,-0.000318086,0.0012559,-0.253273616,0.800056783,-0.002779604,0.002143432,908,,,,
592,,,Job,-0.223549322,0.151659866,-1.47401767,0.140476834,-0.520797198,0.073698553,436,,,,
593,,,Task,-0.100740894,0.049404607,-2.039099182,0.04144013,-0.197572145,-0.003909643,284,,,,
594,,,Biome,0.353848332,0.552585773,0.640350059,0.521945043,-0.729199882,1.436896547,747,,,,
595,,,Session,-0.003225279,0.004641463,-0.694884145,0.48712791,-0.01232238,0.005871821,724,,,,
596,,bayou-reef-decision,,,,,,,,,,,,
597,,,const,0.52779371,1.642289075,0.321376862,0.747924815,-2.69103373,3.74662115,880,,,,
598,,,Complete_A,2.233452966,1.152288441,1.938275945,0.052589566,-0.024990878,4.491896809,303,,,,
599,,,Arg_above_2,0.359058454,0.290947599,1.234100077,0.217165615,-0.211188361,0.929305269,519,,,,
600,,,Mod_above_2,0.080188099,0.258593485,0.310093268,0.756490031,-0.426645818,0.587022016,888,,,,
601,,,Exp_above_2,1.178977294,0.45499713,2.591175236,0.009564877,0.287199307,2.070755281,188,,,,
602,,,Time,-0.000733209,0.001103582,-0.66439,0.506440731,-0.00289619,0.001429772,741,,,,
603,,,Job,-0.112101547,0.14349909,-0.781200405,0.434684636,-0.393354594,0.169151501,695,,,,
604,,,Task,-0.088551585,0.047353677,-1.870004413,0.061483205,-0.181363087,0.004259917,320,,,,
605,,,Biome,0.866438921,0.559192891,1.549445522,0.121274658,-0.229559006,1.962436849,404,,,,
606,,,Session,-0.007485031,0.003944356,-1.897655898,0.057741426,-0.015215827,0.000245765,314,,,,
607,coral-fishy-bizz,,,,,,,,,,,,,
608,,kelp-bull-kelp-forest,,,,,,,,,,,,
609,,,const,1.931162502,1.321852203,1.460951911,0.144028639,-0.659620208,4.521945212,441,,,,
610,,,Complete_A,1.999752546,1.123937515,1.779238186,0.07520072,-0.203124505,4.202629597,339,,,,
611,,,Arg_above_2,0.930895895,0.305599068,3.046134603,0.00231804,0.331932729,1.529859062,140,,,,
612,,,Mod_above_2,1.29643796,0.236999056,5.470224163,4.49E-08,0.831928347,1.760947573,26,,,,
613,,,Exp_above_2,-1.186232673,0.308980548,-3.839182367,0.000123445,-1.79182342,-0.580641926,75,,,,
614,,,Time,-0.000788302,0.00147356,-0.534964531,0.592674384,-0.003676427,0.002099822,779,,,,
615,,,Job,-0.235268011,0.134889258,-1.744156766,0.081131758,-0.499646098,0.029110076,350,,,,
616,,,Task,-0.029526261,0.04183375,-0.705800018,0.480312511,-0.111518904,0.052466381,720,,,,
617,,,Biome,-0.734438264,0.519450761,-1.413874651,0.15739871,-1.752543047,0.28366652,461,,,,
618,,,Session,-0.002348959,0.004068517,-0.577350063,0.563703001,-0.010323106,0.005625189,772,,,,
619,,kelp-urchin-barren-predict,,,,,,,,,,,,
620,,,const,1.446201319,1.237882452,1.168286469,0.242691232,-0.980003704,3.872406343,549,,,,
621,,,Complete_A,-0.088796186,0.658019106,-0.134944693,0.892655603,-1.378489935,1.200897563,963,,,,
622,,,Arg_above_2,0.764055094,0.281762147,2.711702412,0.006693866,0.211811433,1.316298754,171,,,,
623,,,Mod_above_2,1.272909105,0.24630731,5.167971281,2.37E-07,0.790155648,1.755662562,31,,,,
624,,,Exp_above_2,-1.280571748,0.319733869,-4.005117602,6.20E-05,-1.907238616,-0.653904879,64,,,,
625,,,Time,-0.000682396,0.00149946,-0.455094615,0.649041172,-0.003621284,0.002256492,812,,,,
626,,,Job,-0.133690605,0.121647947,-1.098995978,0.27176982,-0.372116201,0.104734991,580,,,,
627,,,Task,-0.014810208,0.041575401,-0.356225263,0.721671874,-0.096296497,0.066676081,860,,,,
628,,,Biome,-0.464486298,0.498507512,-0.931753858,0.351463746,-1.441543067,0.512570472,636,,,,
629,,,Session,-0.00194028,0.004140621,-0.468596358,0.639358181,-0.010055748,0.006175188,801,,,,
630,kelp-save-urchin-barren,,,,,,,,,,,,,
631,,kelp-energy,,,,,,,,,,,,
632,,,const,1.996736563,1.928208864,1.035539562,0.300417001,-1.782483366,5.775956491,599,,,,
633,,,Complete_A,2.15841194,0.91715254,2.353383811,0.018603421,0.360825993,3.955997888,222,,,,
634,,,Arg_above_2,-0.337778753,0.23068209,-1.464260851,0.14312269,-0.78990734,0.114349835,440,,,,
635,,,Mod_above_2,1.428429026,0.235782785,6.058241379,1.38E-09,0.966303258,1.890554793,17,,,,
636,,,Exp_above_2,-0.360961984,0.266364681,-1.355142069,0.175372298,-0.883027165,0.161103197,477,,,,
637,,,Time,0.000700067,0.001858573,0.376668761,0.706419781,-0.00294267,0.004342803,854,,,,
638,,,Job,0.285083739,0.133136774,2.141284715,0.032251085,0.024140457,0.546027022,260,,,,
639,,,Task,-0.107704055,0.046365813,-2.322919599,0.020183472,-0.198579379,-0.016828732,226,,,,
640,,,Biome,-0.815827902,0.602782749,-1.353436049,0.175916367,-1.997260381,0.365604576,478,,,,
641,,,Session,-0.004663347,0.003214226,-1.450846167,0.146822701,-0.010963113,0.001636419,449,,,,
642,,kelp-refuge-failure-simulation,,,,,,,,,,,,
643,,,const,2.348726862,1.97329849,1.190254223,0.233946487,-1.51886711,6.216320834,537,,,,
644,,,Complete_A,2.14413095,0.541167876,3.962044025,7.43E-05,1.083461403,3.204800497,66,,,,
645,,,Arg_above_2,-0.326588643,0.217241554,-1.503343335,0.132750531,-0.752374265,0.09919698,424,,,,
646,,,Mod_above_2,1.165776532,0.232484036,5.014436925,5.32E-07,0.710116196,1.621436869,34,,,,
647,,,Exp_above_2,-0.663389026,0.257888137,-2.572390622,0.010099886,-1.168840487,-0.157937565,191,,,,
648,,,Time,0.00065626,0.002021537,0.324634223,0.745457923,-0.00330588,0.004618401,878,,,,
649,,,Job,0.352149192,0.130295185,2.702703041,0.006877816,0.096775323,0.607523062,173,,,,
650,,,Task,-0.086915176,0.046961475,-1.850776085,0.064201773,-0.178957976,0.005127625,326,,,,
651,,,Biome,-0.995821461,0.64854898,-1.535460685,0.124670707,-2.266954103,0.275311182,410,,,,
652,,,Session,-0.007483523,0.003353281,-2.231701555,0.025634694,-0.014055834,-0.000911213,242,,,,
653,,bayou-methanogen,,,,,,,,,,,,
654,,,const,1.706125437,2.070498396,0.824016788,0.409930019,-2.351976848,5.764227722,672,,,,
655,,,Complete_A,15.29415687,95.99494486,0.159322524,0.873414776,-172.8524778,203.4407915,949,,,,
656,,,Arg_above_2,-0.500424155,0.251254366,-1.991703321,0.046403619,-0.992873663,-0.007974647,295,,,,
657,,,Mod_above_2,1.938800423,0.316996521,6.116156788,9.59E-10,1.317498659,2.560102187,15,,,,
658,,,Exp_above_2,-1.299581596,0.333925778,-3.891827715,9.95E-05,-1.954064093,-0.645099098,73,,,,
659,,,Time,0.002129162,0.002181241,0.976124233,0.329002904,-0.002145991,0.006404315,622,,,,
660,,,Job,0.480210509,0.15285337,3.141641613,0.001680035,0.180623408,0.77979761,132,,,,
661,,,Task,-0.113223542,0.05575619,-2.030690092,0.042286442,-0.222503666,-0.003943418,286,,,,
662,,,Biome,-0.951744217,0.658622734,-1.445052179,0.14844323,-2.242621056,0.339132621,452,,,,
663,,,Session,-0.006599056,0.004284065,-1.540372398,0.123469605,-0.014995669,0.001797558,406,,,,
664,bayou-shrimp-yields,,,,,,,,,,,,,
665,,kelp-bull-kelp-forest,,,,,,,,,,,,
666,,,const,-0.606433184,0.88457409,-0.685565168,0.492987353,-2.340166542,1.127300173,728,,,,
667,,,Complete_A,0.386073709,0.843767504,0.457559348,0.647269055,-1.267680211,2.039827629,809,,,,
668,,,Arg_above_2,28.989226,74310.04052,0.000390112,0.999688736,-145616.0139,145673.9923,1026,,,,
669,,,Mod_above_2,0.010191971,2014391.27,5.06E-09,0.999999996,-3948134.33,3948134.35,1030,,,,
670,,,Exp_above_2,-0.04667808,2356178.036,-1.98E-08,0.999999984,-4618024.138,4618024.045,1029,,,,
671,,,Time,0.013988294,0.007596444,1.841426473,0.065559086,-0.000900464,0.028877052,327,,,,
672,,,Job,0.105631711,0.234452661,0.45054601,0.652316786,-0.353887061,0.565150483,816,,,,
673,,,Task,0.030253194,0.135709194,0.222926633,0.823592608,-0.235731939,0.296238327,919,,,,
674,,,Biome,-0.386390065,0.292218535,-1.322264053,0.186080238,-0.95912787,0.18634774,490,,,,
675,,,Session,0.04431049,0.012594236,3.518315182,0.000434296,0.019626242,0.068994738,97,,,,
676,,bayou-displaced-reef,,,,,,,,,,,,
677,,,const,-2.034703489,0.97086282,-2.095768266,0.036102753,-3.937559651,-0.131847328,274,,,,
678,,,Complete_A,2.52396638,0.717567723,3.517391181,0.000435811,1.117559487,3.930373274,98,,,,
679,,,Arg_above_2,18.68820408,317.162857,0.058923054,0.953013396,-602.9395728,640.315981,991,,,,
680,,,Mod_above_2,0.038049757,5817.899374,6.54E-06,0.999994782,-11402.83519,11402.91129,1027,,,,
681,,,Exp_above_2,-0.006246716,12069.76768,-5.18E-07,0.999999587,-23656.3162,23656.30371,1028,,,,
682,,,Time,0.012963521,0.00741674,1.747873132,0.080485998,-0.001573023,0.027500064,348,,,,
683,,,Job,-0.28274468,0.265210613,-1.066113745,0.286372227,-0.802547929,0.23705857,590,,,,
684,,,Task,0.104486385,0.130668085,0.799632019,0.42392403,-0.151618356,0.360591126,683,,,,
685,,,Biome,-0.166878062,0.318248209,-0.524364498,0.600025044,-0.790633089,0.456876965,784,,,,
686,,,Session,0.034728669,0.011823322,2.937302148,0.003310814,0.011555384,0.057901955,151,,,,
687,coral-fake-fix,,,,,,,,,,,,,
688,,coral-turtle-population,,,,,,,,,,,,
689,,,const,0.984923283,0.944241207,1.04308441,0.2969092,-0.865755476,2.835602041,597,,,,
690,,,Complete_A,0.34000858,0.757174499,0.44904917,0.653396187,-1.144026167,1.824043328,818,,,,
691,,,Arg_above_2,2.037803634,0.275713852,7.391009258,1.46E-13,1.497414414,2.578192855,9,,,,
692,,,Mod_above_2,0.229458692,0.577983023,0.396999017,0.691368185,-0.903367216,1.3622846,844,,,,
693,,,Exp_above_2,-1.942268854,0.577174235,-3.365134367,0.000765064,-3.073509568,-0.811028141,111,,,,
694,,,Time,3.19E-05,0.002612831,0.012191155,0.990273107,-0.005089202,0.005152909,1011,,,,
695,,,Job,0.054593592,0.135938327,0.401605586,0.687974318,-0.211840634,0.321027817,840,,,,
696,,,Task,-0.125319361,0.064450047,-1.944441745,0.051842204,-0.251639131,0.001000409,302,,,,
697,,,Biome,-0.023555199,0.338551075,-0.069576501,0.944530741,-0.687103114,0.639992715,988,,,,
698,,,Session,0.006831415,0.005736417,1.19088548,0.233698545,-0.004411755,0.018074586,536,,,,
699,,kelp-bull-kelp-forest,,,,,,,,,,,,
700,,,const,0.908281136,0.897195303,1.012356098,0.311367821,-0.850189344,2.666751617,611,,,,
701,,,Complete_A,0.755477273,0.614434972,1.229547971,0.218866424,-0.448793143,1.959747689,522,,,,
702,,,Arg_above_2,2.061115396,0.276546214,7.453059534,9.12E-14,1.519094777,2.603136016,7,,,,
703,,,Mod_above_2,0.292882231,0.570436841,0.513434986,0.607647078,-0.825153432,1.410917895,786,,,,
704,,,Exp_above_2,-1.933070888,0.57049813,-3.38839128,0.000703039,-3.051226676,-0.814915101,108,,,,
705,,,Time,0.00054003,0.002594165,0.208171042,0.835095419,-0.004544439,0.005624499,927,,,,
706,,,Job,0.049997618,0.132115439,0.378438873,0.705104595,-0.208943884,0.30893912,853,,,,
707,,,Task,-0.137092734,0.065178484,-2.103343384,0.035435764,-0.264840215,-0.009345252,271,,,,
708,,,Biome,-0.057430009,0.336556058,-0.170640249,0.864506648,-0.717067762,0.602207743,940,,,,
709,,,Session,0.006520653,0.005572958,1.170052318,0.241979915,-0.004402145,0.01744345,548,,,,
710,,bayou-shrimp-yields,,,,,,,,,,,,
711,,,const,1.147835996,0.925714437,1.239946089,0.214995335,-0.666530961,2.962202952,516,,,,
712,,,Complete_A,-0.518661516,0.432528513,-1.199138324,0.230474165,-1.366401825,0.329078792,533,,,,
713,,,Arg_above_2,2.129414601,0.287552298,7.405312406,1.31E-13,1.565822453,2.693006749,8,,,,
714,,,Mod_above_2,0.117058019,0.583218483,0.200710407,0.840925021,-1.026029202,1.260145241,929,,,,
715,,,Exp_above_2,-1.970040879,0.586011547,-3.361778258,0.000774423,-3.118602407,-0.821479352,112,,,,
716,,,Time,0.000348865,0.002714401,0.128523922,0.897734368,-0.004971262,0.005668993,966,,,,
717,,,Job,0.081564413,0.13418305,0.607859284,0.543280806,-0.181429533,0.344558359,760,,,,
718,,,Task,-0.127267454,0.065706282,-1.936914545,0.05275579,-0.2560494,0.001514493,305,,,,
719,,,Biome,0.035917486,0.344033462,0.104401141,0.916851017,-0.63837571,0.710210682,977,,,,
720,,,Session,0.008200405,0.006379251,1.285480917,0.198624281,-0.004302697,0.020703508,502,,,,
721,coral-turtle-stability,,,,,,,,,,,,,
722,,coral-eat-seaweed,,,,,,,,,,,,
723,,,const,2.904192866,1.196497741,2.427244755,0.015213988,0.559100386,5.249285346,212,,,,
724,,,Complete_A,2.086262335,0.634584362,3.287604393,0.001010437,0.842499841,3.330024829,117,,,,
725,,,Arg_above_2,-0.258580294,0.183167056,-1.411718352,0.158032907,-0.617581127,0.100420538,462,,,,
726,,,Mod_above_2,0.096266161,0.2074908,0.463953879,0.64268079,-0.310408333,0.502940656,804,,,,
727,,,Exp_above_2,-0.297236247,0.252545402,-1.176961628,0.239210822,-0.792216139,0.197743645,544,,,,
728,,,Time,0.001056611,0.001429514,0.739140132,0.45982191,-0.001745185,0.003858408,706,,,,
729,,,Job,0.220593152,0.102475566,2.152641458,0.031346868,0.019744733,0.421441571,257,,,,
730,,,Task,-0.000715038,0.03883288,-0.018413207,0.985309217,-0.076826083,0.075396008,1008,,,,
731,,,Biome,-0.664581026,0.401068194,-1.6570275,0.097513915,-1.450660242,0.121498189,369,,,,
732,,,Session,-0.005227744,0.003437823,-1.520655443,0.128346326,-0.011965753,0.001510265,417,,,,
733,,bayou-reef-decision,,,,,,,,,,,,
734,,,const,2.996672789,1.25994054,2.378423975,0.017386822,0.527234707,5.46611087,219,,,,
735,,,Complete_A,2.043050507,1.067382271,1.914075737,0.055610479,-0.048980302,4.135081315,309,,,,
736,,,Arg_above_2,-0.354786471,0.182293793,-1.946234516,0.051626576,-0.712075739,0.002502797,301,,,,
737,,,Mod_above_2,0.171036635,0.195073576,0.876780129,0.380606074,-0.211300548,0.553373817,653,,,,
738,,,Exp_above_2,-0.256369881,0.240639523,-1.065368971,0.286708993,-0.728014679,0.215274917,591,,,,
739,,,Time,0.001109925,0.001532654,0.724185004,0.468952164,-0.001894022,0.004113873,712,,,,
740,,,Job,0.236165612,0.10214656,2.312027075,0.020776191,0.035962034,0.436369191,228,,,,
741,,,Task,0.005588308,0.036594172,0.152710322,0.878626721,-0.066134952,0.077311568,955,,,,
742,,,Biome,-0.65267325,0.416161337,-1.568317843,0.116806974,-1.468334482,0.162987982,398,,,,
743,,,Session,-0.003256504,0.003430531,-0.949270878,0.342482861,-0.009980221,0.003467214,629,,,,
744,,coral-turtle-population,,,,,,,,,,,,
745,,,const,3.164974273,1.230999192,2.57106121,0.010138741,0.752260191,5.577688355,192,,,,
746,,,Complete_A,-0.259966502,0.853263679,-0.304673114,0.760615128,-1.932332582,1.412399577,891,,,,
747,,,Arg_above_2,-0.388910404,0.192643362,-2.018810297,0.04350694,-0.766484456,-0.011336352,289,,,,
748,,,Mod_above_2,0.240442184,0.198926244,1.208700165,0.226778058,-0.14944609,0.630330458,527,,,,
749,,,Exp_above_2,-0.264014737,0.249425533,-1.058491222,0.289831551,-0.752879798,0.224850324,592,,,,
750,,,Time,0.001072211,0.001593741,0.67276367,0.501097654,-0.002051464,0.004195887,738,,,,
751,,,Job,0.267683536,0.117191137,2.284161955,0.022362015,0.037993129,0.497373943,233,,,,
752,,,Task,0.003250611,0.037740702,0.086130109,0.931362989,-0.070719806,0.077221028,984,,,,
753,,,Biome,-0.709004281,0.411571417,-1.722676191,0.084947098,-1.515669435,0.097660873,352,,,,
754,,,Session,-0.001781113,0.003712989,-0.479697798,0.631442294,-0.009058438,0.005496212,795,,,,
755,arctic-salmon-monitoring,,,,,,,,,,,,,
756,,arctic-stationary-survival,,,,,,,,,,,,
757,,,const,1.55141497,0.605028022,2.564203498,0.010341289,0.365581838,2.737248102,193,,,,
758,,,Complete_A,1.191099666,0.568612425,2.094747871,0.036193411,0.076639792,2.305559539,275,,,,
759,,,Arg_above_2,-0.890275008,0.32624296,-2.728871169,0.006355153,-1.52969946,-0.250850556,169,,,,
760,,,Mod_above_2,-1.306131557,1.29926898,-1.005281876,0.31476114,-3.852651964,1.240388849,617,,,,
761,,,Exp_above_2,2.131462863,2.429825081,0.877208355,0.380373479,-2.630906785,6.893832512,652,,,,
762,,,Time,0.007401291,0.005412753,1.367380141,0.171506184,-0.00320751,0.018010093,471,,,,
763,,,Job,1.565429326,0.207407866,7.547588986,4.43E-14,1.158917378,1.971941274,5,,,,
764,,,Task,-0.395038331,0.100920507,-3.914351418,9.06E-05,-0.592838891,-0.197237772,72,,,,
765,,,Biome,-0.729864837,0.274672311,-2.657220285,0.007878794,-1.268212674,-0.191516999,180,,,,
766,,,Session,0.014383633,0.01148301,1.252601293,0.210350844,-0.008122653,0.03688992,512,,,,
767,,kelp-urchin-barren-predict,,,,,,,,,,,,
768,,,const,1.46575237,0.590053235,2.484101913,0.012987863,0.30926928,2.62223546,203,,,,
769,,,Complete_A,1.080071629,0.561595255,1.923220716,0.054452337,-0.020634845,2.180778103,307,,,,
770,,,Arg_above_2,-0.876126436,0.321577697,-2.724462682,0.006440621,-1.506407141,-0.245845731,170,,,,
771,,,Mod_above_2,-2.120696701,1.23011918,-1.723976616,0.084712065,-4.531685991,0.290292588,351,,,,
772,,,Exp_above_2,2.84853957,2.563411659,1.111229857,0.266469423,-2.175654958,7.872734099,574,,,,
773,,,Time,0.00765455,0.00554291,1.380962243,0.16729057,-0.003209355,0.018518455,467,,,,
774,,,Job,1.587554998,0.207240683,7.660440887,1.85E-14,1.181370724,1.993739272,4,,,,
775,,,Task,-0.414324408,0.099051452,-4.182921099,2.88E-05,-0.608461686,-0.22018713,55,,,,
776,,,Biome,-0.673306106,0.27424993,-2.455082146,0.01408524,-1.210826091,-0.135786121,206,,,,
777,,,Session,0.014086049,0.011863435,1.187349942,0.235089616,-0.009165857,0.037337955,539,,,,
778,,bayou-shrimp-yields,,,,,,,,,,,,
779,,,const,1.440020932,0.603926582,2.384430451,0.017105581,0.256346582,2.623695282,217,,,,
780,,,Complete_A,0.912803474,0.414118907,2.204206231,0.027509844,0.101145332,1.724461617,247,,,,
781,,,Arg_above_2,-1.033873891,0.321147925,-3.219307404,0.001285006,-1.663312257,-0.404435525,122,,,,
782,,,Mod_above_2,-0.789044885,1.362988263,-0.578908056,0.562651214,-3.460452791,1.882363021,771,,,,
783,,,Exp_above_2,4.123110292,7.302338906,0.564628723,0.572326324,-10.18921097,18.43543155,775,,,,
784,,,Time,0.006559721,0.005448084,1.204041797,0.228573424,-0.004118328,0.017237771,528,,,,
785,,,Job,1.557885386,0.20802081,7.489084306,6.94E-14,1.15017209,1.965598682,6,,,,
786,,,Task,-0.397501166,0.100468254,-3.95648527,7.61E-05,-0.594415325,-0.200587007,67,,,,
787,,,Biome,-0.751590486,0.27752426,-2.708197419,0.006764977,-1.295528041,-0.207652931,172,,,,
788,,,Session,0.015573478,0.011307727,1.377242076,0.168437417,-0.00658926,0.037736216,468,,,,
789,displaced-reef,,,,,,,,,,,,,
790,bayou-oxygen-tracking,,,,,,,,,,,,,
791,,coral-lionfish-conspiracy,,,,,,,,,,,,
792,,,const,80.47051515,34498.94576,0.00233255,0.998138896,-67536.22068,67697.16171,1024,,,,
793,,,Complete_A,2.43843452,0.940142334,2.593686543,0.009495301,0.595789405,4.281079635,187,,,,
794,,,Arg_above_2,0.844794418,0.342202969,2.468694005,0.013560712,0.174088923,1.515499913,205,,,,
795,,,Mod_above_2,-0.454903982,0.355947315,-1.278009308,0.201246144,-1.1525479,0.242739936,507,,,,
796,,,Exp_above_2,1.59457262,0.559815191,2.848391123,0.004394089,0.497355008,2.691790232,160,,,,
797,,,Time,0.019162612,0.011557433,1.658033552,0.097310694,-0.003489541,0.041814765,367,,,,
798,,,Job,-0.268766099,0.183975804,-1.460877425,0.144049083,-0.62935205,0.091819851,442,,,,
799,,,Task,-0.139352295,0.063080724,-2.20911058,0.02716695,-0.262988243,-0.015716348,244,,,,
800,,,Biome,-19.75444422,8624.736457,-0.00229044,0.998172495,-16923.92728,16884.41839,1025,,,,
801,,,Session,0.036205587,0.019000976,1.90545935,0.056720387,-0.001035641,0.073446816,312,,,,
802,,bayou-dirty-detritus,,,,,,,,,,,,
803,,,const,78.50326384,27356.63606,0.002869624,0.997710374,-53539.51815,53696.52467,1021,,,,
804,,,Complete_A,2.462183198,1.154074347,2.133470174,0.032886176,0.200239043,4.724127353,264,,,,
805,,,Arg_above_2,1.224653793,0.343622235,3.56395387,0.00036531,0.551166589,1.898140997,93,,,,
806,,,Mod_above_2,-0.380334346,0.369093661,-1.030454831,0.302796546,-1.10374463,0.343075937,602,,,,
807,,,Exp_above_2,0.903235248,0.525908024,1.717477593,0.085891945,-0.127525539,1.933996034,353,,,,
808,,,Time,0.012943535,0.009028743,1.433592075,0.151688706,-0.004752477,0.030639547,456,,,,
809,,,Job,-0.314937403,0.175874653,-1.790692397,0.073342671,-0.659645389,0.029770582,336,,,,
810,,,Task,-0.100888436,0.060423336,-1.669693236,0.094980073,-0.219315999,0.017539127,362,,,,
811,,,Biome,-19.20975649,6839.158971,-0.002808789,0.997758913,-13423.71502,13385.29551,1022,,,,
812,,,Session,0.018239403,0.01483398,1.22956912,0.2188585,-0.010834663,0.04731347,521,,,,
813,,kelp-refuge-failure-simulation,,,,,,,,,,,,
814,,,const,66.82986871,6110.684718,0.01093656,0.991274062,-11909.8921,12043.55184,1012,,,,
815,,,Complete_A,0.880961592,0.84227174,1.045935119,0.295590989,-0.769860683,2.531783868,595,,,,
816,,,Arg_above_2,1.11688521,0.322516483,3.463032962,0.000534123,0.48476452,1.7490059,104,,,,
817,,,Mod_above_2,-0.460154478,0.372418509,-1.235584342,0.216613108,-1.190081343,0.269772386,518,,,,
818,,,Exp_above_2,1.172500301,0.484214102,2.421450134,0.015458722,0.223458101,2.121542502,214,,,,
819,,,Time,0.012767019,0.008775615,1.454829015,0.145716604,-0.00443287,0.029966908,446,,,,
820,,,Job,-0.363241051,0.177194284,-2.049959198,0.040368413,-0.710535465,-0.015946637,281,,,,
821,,,Task,-0.091214079,0.055860169,-1.632900163,0.102489996,-0.200697999,0.01826984,376,,,,
822,,,Biome,-16.08607254,1527.670939,-0.010529802,0.991598589,-3010.266093,2978.093948,1013,,,,
823,,,Session,0.023523601,0.015446447,1.522913317,0.127780394,-0.00675088,0.053798081,413,,,,
824,coral-eat-seaweed,,,,,,,,,,,,,
825,,kelp-bull-kelp-forest,,,,,,,,,,,,
826,,,const,2.458618059,1.557533557,1.578532962,0.114443222,-0.594091617,5.511327735,394,,,,
827,,,Complete_A,0.182899072,1.168662547,0.156502895,0.875636637,-2.10763743,2.473435574,951,,,,
828,,,Arg_above_2,-0.324600606,0.295772132,-1.097468529,0.272436631,-0.904303331,0.255102119,582,,,,
829,,,Mod_above_2,0.27449055,0.214607208,1.279036953,0.200884043,-0.146131849,0.695112948,506,,,,
830,,,Exp_above_2,-0.317116216,0.299889003,-1.057445297,0.290308408,-0.90488786,0.270655429,593,,,,
831,,,Time,-0.001460081,0.001213721,-1.202978842,0.228984508,-0.003838931,0.000918769,529,,,,
832,,,Job,0.149045199,0.147882038,1.007865469,0.313519051,-0.140798269,0.438888667,615,,,,
833,,,Task,0.041946066,0.040459364,1.036745551,0.299854457,-0.037352831,0.121244963,598,,,,
834,,,Biome,-0.575763223,0.519637329,-1.108009741,0.267857609,-1.594233673,0.442707228,576,,,,
835,,,Session,-0.002085339,0.007824469,-0.266515082,0.789842546,-0.017421017,0.013250339,904,,,,
836,,kelp-energy,,,,,,,,,,,,
837,,,const,2.470098834,1.56148599,1.581889847,0.113674719,-0.590357469,5.530555136,393,,,,
838,,,Complete_A,0.313822825,1.152948706,0.272191489,0.785474786,-1.945915115,2.573560764,899,,,,
839,,,Arg_above_2,-0.31852128,0.292481191,-1.08903167,0.27613992,-0.891773881,0.254731321,585,,,,
840,,,Mod_above_2,0.275681139,0.213312956,1.292378785,0.196226,-0.142404572,0.69376685,500,,,,
841,,,Exp_above_2,-0.309460769,0.301172894,-1.027518661,0.304176303,-0.899748794,0.280827257,603,,,,
842,,,Time,-0.001451242,0.001215033,-1.194405082,0.23231955,-0.003832663,0.000930179,535,,,,
843,,,Job,0.140829404,0.145246686,0.969587726,0.332252034,-0.143848869,0.425507676,624,,,,
844,,,Task,0.04257284,0.040563676,1.049531113,0.293933743,-0.036930504,0.122076185,594,,,,
845,,,Biome,-0.590835865,0.524365928,-1.126762504,0.259842908,-1.618574198,0.436902467,567,,,,
